@relation transactions10k
@attribute TransactionID integer [0, 9999]
@attribute ItemID integer [111, 444]
@attribute Quantity integer [1, 11]
@inputs TransactionID, ItemID, Quantity
@data
0, 123, 8
1, 332, 8
1, 143, 2
1, 144, 3
1, 112, 5
1, 114, 2
1, 322, 1
1, 321, 1
1, 113, 3
1, 323, 5
1, 142, 1
1, 232, 3
1, 313, 9
1, 223, 3
1, 341, 7
1, 111, 7
1, 221, 1
1, 424, 2
1, 344, 4
1, 331, 6
2, 113, 6
2, 214, 6
2, 344, 2
2, 313, 1
2, 324, 1
2, 124, 3
2, 112, 7
3, 221, 1
3, 111, 3
3, 322, 9
3, 431, 9
3, 332, 1
3, 344, 5
3, 331, 4
3, 144, 1
3, 223, 9
3, 242, 2
3, 222, 8
3, 114, 8
3, 142, 1
3, 211, 3
3, 341, 9
3, 324, 3
3, 143, 1
3, 443, 4
4, 123, 3
4, 324, 2
4, 322, 4
4, 323, 11
4, 143, 2
4, 423, 5
4, 144, 3
5, 113, 1
5, 231, 4
5, 221, 3
5, 233, 2
5, 111, 3
5, 232, 8
5, 322, 2
5, 123, 2
5, 314, 8
6, 423, 3
6, 431, 4
6, 322, 7
6, 231, 1
6, 111, 6
6, 233, 4
6, 211, 7
6, 224, 2
6, 113, 3
6, 323, 2
6, 332, 9
6, 241, 3
6, 223, 1
6, 443, 8
6, 114, 5
6, 243, 8
6, 424, 3
6, 123, 11
6, 221, 2
6, 324, 11
7, 112, 2
7, 132, 1
7, 232, 2
7, 242, 4
7, 322, 8
7, 343, 1
7, 244, 2
7, 331, 7
7, 332, 8
7, 221, 2
7, 113, 1
8, 144, 5
8, 143, 2
8, 433, 5
8, 322, 8
8, 331, 11
8, 323, 1
8, 114, 9
8, 223, 5
8, 332, 2
8, 113, 3
8, 112, 4
8, 134, 4
8, 324, 6
8, 111, 3
9, 223, 2
9, 231, 5
9, 322, 11
9, 114, 3
9, 111, 7
9, 113, 6
9, 323, 2
9, 232, 2
9, 422, 10
9, 442, 3
9, 142, 4
9, 331, 3
10, 142, 2
10, 344, 10
10, 323, 2
10, 332, 1
10, 343, 10
10, 311, 1
10, 331, 2
10, 113, 7
10, 143, 8
10, 322, 2
10, 114, 5
10, 123, 5
10, 144, 5
10, 111, 2
10, 321, 1
10, 422, 1
10, 212, 3
10, 211, 2
10, 124, 1
11, 223, 3
11, 331, 3
11, 343, 4
11, 234, 11
11, 224, 6
11, 113, 7
11, 442, 9
11, 222, 10
11, 332, 5
11, 232, 4
11, 123, 4
11, 242, 3
11, 231, 1
11, 431, 4
11, 114, 6
11, 422, 3
11, 233, 4
11, 112, 7
11, 322, 2
11, 144, 6
11, 241, 1
12, 222, 5
12, 112, 1
12, 111, 7
12, 332, 9
12, 114, 7
12, 224, 3
12, 243, 11
12, 344, 4
12, 432, 1
12, 324, 8
12, 113, 1
12, 442, 7
12, 323, 3
12, 142, 1
12, 322, 10
12, 414, 4
12, 331, 5
12, 123, 6
12, 444, 8
12, 233, 6
12, 223, 9
12, 232, 2
13, 112, 2
13, 314, 8
13, 114, 4
13, 331, 8
13, 324, 2
13, 221, 4
13, 223, 2
13, 123, 1
13, 222, 6
13, 111, 6
13, 332, 4
13, 234, 1
13, 343, 1
13, 144, 4
13, 411, 4
13, 441, 5
13, 344, 4
13, 244, 2
13, 342, 5
13, 323, 1
13, 113, 1
14, 322, 1
14, 224, 1
14, 244, 8
14, 233, 1
14, 324, 2
14, 112, 2
14, 144, 3
14, 142, 11
14, 431, 3
14, 222, 3
14, 323, 1
14, 313, 3
14, 433, 1
14, 434, 1
14, 212, 4
14, 231, 4
14, 343, 1
15, 443, 5
15, 231, 3
15, 114, 4
15, 243, 3
16, 322, 3
16, 343, 4
16, 144, 1
16, 113, 2
16, 111, 1
16, 331, 2
16, 124, 2
16, 123, 1
16, 344, 3
16, 231, 2
16, 233, 2
16, 212, 2
16, 122, 1
16, 414, 1
17, 234, 2
17, 211, 8
17, 242, 3
17, 322, 1
17, 344, 8
17, 113, 1
17, 424, 2
17, 323, 8
18, 234, 1
18, 241, 8
18, 322, 6
18, 114, 1
18, 341, 2
18, 323, 4
18, 143, 1
18, 433, 7
18, 113, 2
18, 423, 7
18, 231, 7
18, 332, 6
18, 314, 1
18, 111, 9
18, 324, 5
19, 211, 2
19, 343, 1
19, 313, 1
19, 123, 3
19, 323, 4
19, 324, 11
19, 113, 5
19, 332, 4
19, 124, 8
19, 221, 2
19, 234, 1
19, 222, 4
19, 143, 1
19, 322, 1
19, 232, 9
20, 132, 2
20, 144, 2
20, 122, 4
20, 111, 7
21, 324, 1
21, 114, 5
21, 333, 3
21, 224, 2
21, 331, 11
21, 123, 1
21, 111, 9
21, 221, 3
21, 243, 1
21, 232, 1
22, 331, 3
22, 111, 3
22, 323, 8
22, 232, 6
22, 123, 7
22, 241, 1
22, 143, 2
22, 324, 2
22, 322, 2
22, 221, 3
22, 114, 4
22, 244, 10
22, 112, 2
22, 332, 8
22, 142, 2
23, 231, 1
23, 324, 4
23, 343, 5
23, 222, 4
23, 243, 10
23, 341, 1
23, 143, 2
23, 142, 2
24, 322, 7
24, 111, 10
24, 221, 2
24, 144, 10
24, 431, 2
24, 112, 2
24, 114, 1
24, 113, 1
24, 141, 2
24, 343, 6
24, 442, 1
24, 341, 4
25, 322, 1
25, 244, 8
25, 341, 2
25, 344, 3
25, 321, 1
25, 332, 1
25, 314, 1
25, 111, 2
25, 232, 1
25, 423, 5
25, 133, 4
25, 113, 3
25, 221, 2
25, 222, 1
25, 114, 1
25, 143, 7
25, 241, 9
25, 123, 1
25, 313, 5
25, 112, 1
25, 444, 1
25, 331, 4
25, 234, 2
26, 143, 4
26, 113, 1
26, 433, 1
26, 311, 7
26, 224, 6
26, 112, 6
26, 231, 7
27, 113, 5
27, 112, 4
27, 331, 8
27, 141, 2
27, 341, 3
27, 321, 3
28, 111, 4
28, 113, 9
28, 223, 3
28, 344, 7
28, 233, 1
28, 341, 7
28, 322, 1
28, 323, 7
28, 414, 2
28, 331, 1
28, 114, 5
28, 423, 3
28, 324, 2
28, 112, 7
28, 413, 1
28, 221, 4
28, 242, 5
29, 123, 4
30, 211, 10
30, 112, 4
30, 244, 7
31, 123, 3
31, 331, 1
31, 222, 2
31, 113, 1
31, 224, 3
31, 234, 1
31, 232, 6
31, 324, 2
31, 111, 2
31, 114, 6
31, 322, 3
31, 142, 1
31, 121, 5
31, 211, 3
31, 112, 2
32, 344, 5
32, 212, 2
32, 232, 3
32, 332, 2
32, 112, 4
32, 222, 7
32, 142, 2
32, 111, 2
32, 113, 4
32, 323, 5
33, 433, 8
33, 113, 4
33, 232, 2
33, 114, 2
33, 112, 6
33, 332, 8
33, 243, 10
33, 233, 7
33, 123, 3
33, 241, 5
33, 323, 6
33, 242, 3
34, 343, 10
34, 112, 1
34, 332, 3
34, 232, 8
34, 143, 3
34, 111, 9
34, 123, 7
34, 113, 1
34, 114, 1
34, 231, 1
34, 234, 2
34, 323, 6
35, 112, 10
35, 113, 8
35, 241, 1
35, 143, 6
35, 333, 2
35, 434, 5
35, 414, 3
35, 144, 2
35, 323, 11
35, 343, 9
35, 321, 2
35, 232, 1
35, 322, 4
35, 422, 3
35, 444, 1
35, 142, 3
35, 114, 6
35, 342, 1
36, 233, 3
36, 422, 2
36, 244, 5
36, 332, 5
36, 143, 8
36, 144, 6
36, 242, 7
36, 323, 1
36, 111, 1
36, 324, 2
36, 241, 1
36, 142, 6
